ax,ay,az,gx,gy,gz
866,-86,2036,-361,-798,-39
826,-93,1896,-469,-1364,131
793,-65,1751,-139,-2106,257
778,-148,1634,685,-2167,400
755,-59,1470,334,-1617,-10
689,54,1370,238,-1231,688
661,52,1247,311,-1192,1722
668,-34,1176,335,-1712,1547
616,42,1081,161,2332,251
673,130,895,-8,1668,-874
652,63,778,1,-1781,6
610,59,726,46,-1186,-284
596,23,619,-196,-1722,-591
622,114,516,-501,-2188,-109
585,-7,493,402,1443,306
619,61,348,21,560,-22
629,69,313,-112,881,46
623,84,303,-15,327,645
615,98,300,147,-19,126
628,52,329,-170,-439,949
631,182,311,-122,-527,488
613,65,321,41,122,-173
630,152,318,-4,-12,-681
622,118,326,-7,-37,-54
622,109,320,34,-120,-91
620,106,364,123,-604,-47
634,208,371,319,-854,482
620,188,447,-9,-1496,1025
598,101,536,-26,-1898,546
606,130,639,-7,1713,-401
599,229,804,-423,1054,-551
632,115,856,58,-122,463
661,52,1055,-179,891,-506
687,210,1167,-997,477,-1918
705,79,1392,-264,1608,-233
742,123,1537,-1106,1310,183
784,12,1543,-182,2001,693
825,298,1808,-1765,2262,1495
788,-150,1717,-296,1238,1214
868,14,1898,1952,-2005,-867
908,186,2011,742,-1482,-1492
913,53,2135,879,-2151,-704
962,178,2128,-737,-2205,-428
981,14,2304,-144,1915,50
1041,81,-2305,-511,1442,21
1085,10,-2126,-68,660,-119
1170,34,-1934,213,-532,-253
1318,6,-1842,-540,-1235,-561
1450,8,-1624,-391,-1117,-216
1613,-40,-1503,-430,-1191,-278
1772,-30,-1376,-667,-276,-517
1884,-78,-1127,-103,292,-99
2018,-76,-1001,-157,138,-35
2180,-83,-949,-215,239,-32
2316,-90,-828,-183,204,-50
-2216,-136,-790,-261,1046,-151
-2099,-114,-710,-217,2204,-70
-2043,-125,-636,96,-1477,-29
-2003,-194,-597,-1045,-323,-522
-1976,-231,-603,-2326,-1371,-1376
-1848,-20,-728,1988,-1430,1162
-2010,-172,-357,-1630,1102,-459
-1975,111,-315,-500,-2182,-170
-1806,92,-496,2242,1707,-1180
-1744,-21,-207,1608,318,-1401
-1499,-47,-406,-194,16,-139
-1404,-72,-162,-1381,968,-585
-1166,-90,-548,-1776,2111,-648
-1201,-190,-102,6,-2103,-48
-1144,-174,120,659,-505,105
-851,-140,-75,-143,2145,775
-468,165,-330,-1412,-665,639
-430,105,47,-642,1947,509
-303,100,98,-951,1332,466
-116,47,-15,-1339,70,706
48,-109,-175,2233,1461,-80
163,-215,-321,-368,-2037,-2163
195,-108,158,-90,-188,-380
247,-68,-298,2201,-97,-441
116,-17,146,53,-2038,412
-13,45,395,97,876,197
50,101,160,-403,2228,-21
194,64,-302,-266,-14,-43
126,50,182,127,-558,-217
202,104,-216,13,-643,-33
167,127,-59,22,1133,146
145,84,38,93,-779,-209
165,45,-103,-10,1199,346
51,90,206,-71,1224,42
63,82,-3,19,112,-13
58,77,12,-6,-257,12
68,74,58,-6,-349,-7
88,73,-53,14,209,-11
67,102,-187,179,2165,3
-92,62,96,99,-2009,53
-171,83,10,11,2111,-6
-270,95,51,-72,1961,16
-313,84,-89,-31,-2307,71
-387,78,-233,-458,-1632,-31
-593,60,-78,-22,-484,83
-763,49,-7,-48,-1412,59
-860,24,-183,-1109,-1310,-271
-1018,-16,-259,-761,156,-135
-1248,-93,-193,-832,743,-352
-1432,-65,-285,-311,-495,-128
-1597,-73,-456,-717,501,-167
-1805,-128,-380,-547,7,-39
-1934,-124,-646,88,413,46
-2132,-137,-687,209,469,-27
-2315,-121,-848,425,1198,-7
2152,-87,-987,228,1858,-106
1935,-94,-1099,-46,2076,68
1738,-113,-1271,190,2037,202
1570,-65,-1480,181,1428,216
1420,-70,-1673,379,1425,478
1285,-39,-1854,-82,570,52
1170,-67,-2007,-152,-60,130
1105,-52,-2245,-31,-227,135
1021,-48,2186,-16,1096,102
873,-100,2142,-190,969,-513
837,-40,1935,247,-491,-366
788,-38,1738,632,-1032,142
